,날짜,종가,전일비,시가,고가,저가,거래량
0,2025.01.15,53700,200,54100,54700,53500,18625025
1,2025.01.16,54300,600,54200,55000,54100,18627298
2,2025.01.17,53700,600,53800,54100,53200,18805344
3,2025.01.20,53400,300,53600,53900,53300,11822531
4,2025.01.21,53500,100,53700,54300,53300,13535702
5,2025.01.22,54300,800,53400,54400,53100,18341991
6,2025.01.23,53700,600,53700,54100,53500,15588067
7,2025.01.24,53700,0,53600,53800,53200,11867631
8,2025.01.31,52400,1300,52200,53000,51700,42186279
9,2025.02.03,51000,1400,51100,51400,50800,32344897
10,2025.02.04,52700,1700,51600,53600,51500,27214851
11,2025.02.05,52900,200,53600,53800,52800,15974885
12,2025.02.06,54000,1100,53400,54000,53200,16466025
13,2025.02.07,53700,300,53900,54200,53600,14476866
14,2025.02.10,55600,1900,53000,55900,52900,27577591
15,2025.02.11,55700,100,55500,56300,55000,24596196
16,2025.02.12,55800,100,55100,55900,54500,26428596
17,2025.02.13,55800,0,56100,56400,55600,22448377
18,2025.02.14,56000,200,56000,57300,56000,23979779
19,2025.02.17,56000,0,56100,56500,55700,7442667
